RCArea,DBSiteCode,Run,FishDate,SegmentID,Waterway,Location,LatWGS84Fished,LongWGS84Fished,PredNoIndigSpp,NoIndigSpp,PropIndigSpp,PropNonIndigSpp,AmbSp1,AmnPer,AngMar,AngObs,AngRei,AwaAcr,BunGyr,CraSte,EleFus,EleMel,GerFil,GiuApo,GloApr,GloIll,GloLat,HypBuc,HypCom,KuhRup,LatCal,LeiUni,LutArg,MegCyp,MelSpl,MogAds,MugCep,NemEre,NeoAte,NeoHyr,OphSp1,PlaSub,PorRen,RedBik,SchHoe,StrKre,ToxCha,OxyLin,AmpSpp,GamHol,OreMos,PoeRet,TriTri,XipMac
Black,117-0018,1,21-Aug-19,9491,Healy Creek,"Saunders Beach Road, Yabulu",-19.1933,146.5897,14.07,7,0.498,0.018,24,-,-,-,1,-,-,-,-,-,2,-,-,-,-,-,63,-,1,6,-,-,71,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,-
Black,117-0019,1,21-Aug-19,15154,Canal Creek,"Black River Road, Black River",-19.2908,146.601,11.65,7,0.601,0.191,3,-,-,-,2,-,-,-,-,-,-,-,-,1,-,-,329,-,-,101,-,-,124,5,-,-,-,-,-,-,-,-,-,-,-,-,-,84,47,2,-,-
Black,117-0019,2,12-Sep-22,15154,Canal Creek,"Black River Road, Black River",-19.2908,146.601,11.65,5,0.429,0.413,9,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,45,-,-,14,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,30,21,1,-,-
Black,117-0021,1,20-Aug-19,15154,Crystal Creek,"Spiegelhauer Road, Mutarnee",-18.9728,146.2761,11.79,9,0.764,0.012,-,-,-,-,5,1,-,4,-,-,-,-,-,7,-,-,42,3,-,-,2,-,20,1,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-
Black,117-0021,2,13-Sep-22,15154,Crystal Creek,"Spiegelhauer Road, Mutarnee",-18.9728,146.2761,11.79,9,0.764,0,-,-,2,-,9,3,-,13,-,-,-,-,-,8,-,-,14,3,-,-,-,-,9,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Black,117-0021,3,28-Aug-25,15154,Crystal Creek,"Spiegelhauer Road, Mutarnee",-18.973,146.2748,11.79,7,0.594,0,-,-,2,-,4,-,-,7,-,-,-,-,-,-,-,-,33,6,-,-,-,-,23,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Black,117-0029,1,19-Aug-19,15154,Leichhardt Creek,"Setter Road, Bluewater",-19.1372,146.4821,11.31,12,1.061,0.005,8,-,-,-,6,3,1,14,-,-,-,13,1,-,-,-,98,-,-,3,-,-,42,9,-,-,-,1,-,-,-,-,-,-,-,-,-,-,1,-,-,-
Black,117-0029,2,14-Sep-22,15154,Leichardt Creek,"Setter Road, Bluewater",-19.1372,146.4821,11.31,9,0.796,0,-,-,-,-,7,1,-,1,-,-,-,5,-,-,-,-,57,1,-,-,1,-,35,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Black,117-0029,3,3-Sep-25,15154,Leichardt Creek,"Setter Road, Bluewater",-19.1372,146.4821,11.31,12,1.061,0,-,-,-,1,2,1,-,3,-,-,-,3,-,1,1,-,77,10,-,15,2,-,62,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Black,117-0037,1,20-Aug-19,9117,Crystal Creek,"Daly Road, Mutarnee",-18.9571,146.2849,14.83,13,0.876,0,-,-,1,-,7,5,-,7,-,-,4,-,-,30,-,-,26,2,1,-,1,-,24,-,-,-,-,-,1,-,-,-,1,-,-,-,-,-,-,-,-,-
Black,117-0037,NA,23-Aug-21,9117,Crystal Creek,"Daly Road, Mutarnee",-18.9569,146.2846,14.83,10,0.674,0,-,-,-,-,7,4,-,9,-,-,-,-,-,5,-,-,55,5,-,-,4,-,68,1,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-
Black,117-0037,2,13-Sep-22,9117,Crystal Creek,"Daly Road, Mutarnee",-18.9571,146.2849,14.83,10,0.674,0,-,-,1,-,6,-,-,-,-,1,-,-,-,65,-,-,2,2,1,-,1,-,9,-,-,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-,-
Black,117-0037,3,28-Aug-25,9117,Crystal Creek,"Daly Road, Mutarnee",-18.9571,146.2849,14.83,11,0.742,0,-,-,1,-,2,1,-,8,-,-,-,-,-,17,-,-,36,4,-,-,1,-,42,-,-,-,-,-,1,-,-,-,5,-,-,-,-,-,-,-,-,-
Black,117-0041,1,21-Aug-19,9085,Bullocky Toms Creek,"Volk Road, Mutarnee",-18.9592,146.2615,10.01,7,0.7,0,-,-,-,-,15,4,-,10,-,-,-,-,-,-,-,-,30,1,-,-,-,-,90,21,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Black,117-0041,2,14-Sep-22,9085,Bullocky Toms Creek,"Volk Road, Mutarnee",-18.9592,146.2615,10.01,6,0.6,0.039,-,-,-,-,28,5,-,17,-,-,-,-,-,-,-,-,-,2,-,-,-,-,24,23,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,-,-
Black,117-0041,3,28-Aug-25,9085,Bullocky Toms Creek,"Volk Road, Mutarnee",-18.9595,146.2618,10.01,6,0.6,0.014,-,-,1,-,5,-,-,2,-,-,-,-,-,-,-,-,-,13,-,-,-,-,38,13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-
Black,117-0066,2,16-Sep-22,10050,Deep Creek,"Bruce Highway, Bluewater",-19.1923,146.573,12.7,5,0.394,0.029,46,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,112,-,-,3,-,-,103,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,6,-,-,-
Black,117-0066,3,3-Sep-25,10050,Deep Creek,"Bruce Highway, Bluewater",-19.192,146.5734,12.7,3,0.236,0.579,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,-,-,-,-,-,17,-,-,-,-,-,-,-,-,-,-,-,-,-,-,33,-,-,-,-
Black,117-0067,1,22-Aug-19,14985,Alice River,"Hervey Range Road, Rangewood",-19.3157,146.5962,12.4,5,0.403,0.364,-,-,-,-,19,2,-,-,-,-,-,-,-,-,-,-,230,-,-,25,-,-,65,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,195,-,-,-
Black,117-0069,1,22-Aug-19,9157,Nolans Gully,"Intake Road, Paluma Range National Park, Crystal Creek",-18.9836,146.2365,6.63,6,0.905,0,-,-,-,-,3,3,-,-,-,-,-,-,-,-,-,-,2,6,-,-,-,-,13,16,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Black,117-0069,2,13-Sep-22,9157,Nolans Gully,"Intake Road, Paluma Range National Park, Crystal Creek",-18.9836,146.2365,6.63,7,1.056,0,-,-,-,-,6,3,-,-,-,-,-,-,-,-,-,-,5,2,-,-,-,-,60,29,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-
Black,117-0069,3,3-Sep-25,9157,Nolans Gully,"Intake Road, Paluma Range National Park, Crystal Creek",-18.9836,146.2365,6.63,6,0.905,0,-,-,-,-,5,-,-,-,-,-,-,-,-,-,-,-,1,2,-,-,-,-,12,7,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-
Black,117-0085,1,22-Aug-19,9480,Clerk Creek,"Bruce Highway, Mutarnee",-18.9809,146.3335,11.6,8,0.689,0.006,5,-,-,-,4,8,-,-,-,-,-,-,-,-,-,-,203,-,-,24,-,-,98,1,-,-,-,1,-,-,-,-,-,-,-,-,-,2,-,-,-,-
Black,117-0085,2,14-Sep-22,9480,Clerk Creek,"Bruce Highway, Mutarnee",-18.9809,146.3335,11.6,4,0.345,0.261,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,3,-,-,-,-,-,334,55,-,-,-,-,-,-,-,-,-,-,-,-,-,139,-,-,-,-
Black,117-0085,3,28-Aug-25,9480,Clerk Creek,"Bruce Highway, Mutarnee",-18.981,146.3335,11.6,9,0.776,0,-,-,1,-,5,1,-,-,-,-,-,-,-,1,-,-,153,-,-,6,1,-,228,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Black,117-0094,2,16-Sep-22,12392,Tributary of Palm Tree Creek,"Page Road, Hervey Range",-19.3479,146.4851,8.06,3,0.372,0.407,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,-,-,-,-,-,2,29,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,24,-,-
Black,117-0094,3,2-Sep-25,12392,Tributary of Palm Tree Creek,"Page Road, Hervey Range",-19.3479,146.4852,8.06,4,0.496,0.522,-,-,-,-,7,-,-,-,-,-,-,-,-,-,-,-,32,-,-,-,-,-,15,22,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,83,-,-
Black,117-0110,1,23-Aug-19,12480,Alice River,"Granitevale Road, Alice River",-19.3811,146.5871,9.61,7,0.728,0.095,1,-,-,-,17,-,-,-,-,-,-,-,-,-,-,-,28,-,-,93,-,-,285,77,-,-,-,15,-,-,-,-,-,-,-,-,-,-,49,5,-,-
Black,117-0131,2,16-Sep-22,13715,Log Creek,"Adrenaline Paintball, Black River",-19.287,146.5988,12.64,5,0.396,0.445,-,-,-,-,4,-,-,-,-,-,-,-,-,-,-,-,88,-,-,4,-,-,18,7,-,-,-,-,-,-,-,-,-,-,-,-,-,69,21,2,-,5
Black,117-0131,3,4-Sep-25,13715,Log Creek,"Adrenaline Paintball, Black River",-19.2862,146.5997,12.64,5,0.396,0.242,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,46,-,-,1,-,-,3,16,-,-,-,-,-,-,-,-,-,-,-,-,-,6,-,16,-,-
Ross,118-0008,2,15-Sep-22,12531,Bohle River,"Off S Beck Drive, Rasmussen",-19.3473,146.7127,12.95,6,0.463,0.11,113,-,-,-,-,-,-,87,-,-,-,-,-,-,-,192,-,-,-,1,-,-,35,-,-,1,-,-,-,-,-,-,-,-,-,-,-,32,19,-,-,2
Ross,118-0012,3,9-Sep-25,13750,Cockatoo Creek,"Cockatoo Creek swimming area, Mount Elliot",-19.4409,146.9553,5.32,2,0.376,0.653,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,40,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,79,-,-
Ross,118-0023,1,20-Aug-19,12393,Little Bohle River,"Granitevale Road, Alice River",-19.3562,146.6102,10.14,6,0.592,0.051,22,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,37,-,-,140,18,-,-,-,5,-,-,-,-,-,-,-,-,-,1,11,-,-,-
Ross,118-0023,2,14-Sep-22,12393,Little Bohle River,"Granitevale Road, Alice River",-19.3547,146.6111,10.14,6,0.592,0.093,46,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,51,-,-,158,6,-,-,1,1,-,-,-,-,-,-,-,-,-,-,26,1,-,-
Ross,118-0023,3,4-Sep-25,12393,Little Bohle River,"Granitevale Road, Alice River",-19.3547,146.6111,10.14,5,0.493,0,9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,15,-,-,221,40,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Ross,118-0031,2,14-Sep-22,12514,Bohle River,"Off Laudberg Road, Kelso",-19.3908,146.7008,12.25,6,0.49,0.447,31,-,-,-,-,-,-,9,-,-,-,-,-,-,-,45,-,-,-,4,-,-,19,-,-,-,-,1,-,-,-,-,-,-,-,-,-,7,81,-,-,-
Ross,118-0036,1,23-Aug-19,9099,Bohle River,"Dalrymple Road, Mount Louisa",-19.2904,146.7107,13.45,10,0.744,0.276,4,-,-,-,17,7,-,19,-,-,-,-,-,-,-,-,131,2,1,23,-,-,43,-,-,-,-,-,-,2,-,-,-,-,-,-,-,14,81,-,-,-
Ross,118-0036,2,15-Sep-22,9099,Bohle River,"Dalrymple Road, Mount Louisa",-19.2904,146.7107,13.45,9,0.669,0.046,2,-,-,-,14,-,-,18,-,-,-,-,-,2,-,-,139,1,-,5,1,-,47,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,11,-,-,-
Ross,118-0036,3,2-Sep-25,9099,Bohle River,"Dalrymple Road, Mount Louisa",-19.2904,146.7107,13.45,12,0.892,0.086,7,-,1,-,19,2,-,1,-,-,-,-,-,2,2,-,103,5,-,21,1,-,82,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,18,-,-,2
Ross,118-0039,1,20-Aug-19,13437,Sachs Creek,"Kavenagh Court, Oak Valley",-19.4066,146.8166,11.23,6,0.534,0.559,32,-,-,-,-,-,-,1,-,-,-,-,16,-,-,2,-,-,-,-,-,-,1,-,-,-,15,-,-,-,-,-,-,-,-,-,-,85,-,-,-,-
Ross,118-0039,2,13-Sep-22,13437,Sachs Creek,"Kavenagh Court, Oak Valley",-19.4066,146.8166,11.23,6,0.534,0.815,9,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,-,-,-,3,1,-,-,1,-,-,-,-,-,-,86,-,2,-,-
Ross,118-0039,3,29-Aug-25,13437,Sachs Creek,"Kavenagh Court, Oak Valley",-19.4066,146.8166,11.23,5,0.445,0.525,10,-,-,-,-,-,-,3,-,-,-,-,-,-,-,2,-,-,-,5,-,-,9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,31,-,-
Ross,118-0040,1,21-Aug-19,12416,Killymoon Creek,"Bruce Highway, Alligator Creek",-19.3925,146.994,12.85,7,0.545,0.012,6,-,-,-,7,-,-,-,-,-,-,-,-,-,-,-,122,-,8,5,-,3,87,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-
Ross,118-0056,1,21-Aug-19,14267,Alligator Creek,"Alligator Creek Road, Alligator Creek",-19.398,146.9495,12.53,8,0.638,0.003,69,-,-,-,5,-,-,19,-,-,-,-,1,-,-,-,140,-,-,18,-,-,102,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-
Ross,118-0056,2,12-Sep-22,14267,Alligator Creek,"Alligator Creek Road, Alligator Creek",-19.398,146.9495,12.53,6,0.479,0.023,3,-,-,-,4,-,-,10,-,-,-,-,-,-,-,-,84,-,-,5,-,-,63,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,1,-
Ross,118-0056,3,1-Sep-25,14267,Alligator Creek,"Alligator Creek Road, Alligator Creek",-19.398,146.9495,12.53,8,0.638,0.021,24,-,-,-,1,-,-,2,-,-,-,-,-,2,-,-,119,-,-,10,-,-,20,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,-,-
Ross,118-0063,1,21-Aug-19,19128,Stuart Creek,"Bougainville Street, Roseneath",-19.3678,146.845,12.17,7,0.575,0.041,2,-,-,-,1,-,-,14,-,-,-,-,-,-,-,-,-,-,-,31,-,-,251,-,-,2,-,1,-,-,-,-,-,-,-,-,-,2,11,-,-,-
Ross,118-0063,2,13-Sep-22,19128,Stuart Creek,"Bougainville Street, Roseneath",-19.3678,146.845,12.17,9,0.739,0.204,36,1,-,-,5,-,-,15,-,-,-,-,-,-,-,8,6,-,-,52,-,-,19,6,-,-,-,-,-,-,-,-,-,-,-,-,-,7,31,-,-,-
Ross,118-0063,3,2-Sep-25,19128,Stuart Creek,"Bougainville Street, Roseneath",-19.3676,146.8448,12.17,8,0.657,0.067,7,-,-,-,10,-,-,8,-,-,-,-,-,2,-,-,98,-,-,13,-,-,20,23,-,-,-,-,-,-,-,-,-,-,-,-,-,1,11,-,-,1
Ross,118-0064,3,5-Sep-25,8988,Saunders Creek,"Off Summerland Drive, Deeragun",-19.256,146.6739,12.73,4,0.314,0.431,48,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,26,-,-,37,-,-,229,-,-,-,-,-,-,-,-,-,-,-,-,-,-,61,123,-,-,74
Ross,118-0107,1,19-Aug-19,12420,Ross River,"Riverway Drive, Kelso",-19.4067,146.7348,15.43,15,0.972,0.115,79,65,-,-,10,-,-,25,-,-,-,-,3,-,-,-,-,-,-,9,-,-,34,3,-,42,2,9,2,-,15,14,-,-,2,28,-,3,10,-,-,-
Ross,118-0107,2,13-Sep-22,12420,Ross River,"Riverway Drive, Kelso",-19.4067,146.7348,15.43,10,0.648,0.375,9,10,-,-,6,-,-,8,-,-,-,-,3,-,-,5,-,-,-,2,-,-,42,1,-,-,-,-,4,-,-,-,-,-,-,6,-,11,4,-,-,33
Ross,118-0107,3,29-Aug-25,12420,Ross River,"Riverway Drive, Kelso",-19.4067,146.7348,15.43,9,0.583,0.07,-,50,-,-,8,-,-,14,-,-,-,-,13,-,-,-,3,-,-,5,-,-,19,-,-,-,-,-,4,-,-,3,-,-,-,3,-,-,6,-,-,-
Ross,118-0114,1,22-Aug-19,9220,Stony Creek,"Geaney Lane, Deeragun",-19.2484,146.6661,11.87,7,0.59,0.328,150,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,106,-,-,60,-,1,272,-,-,4,-,-,-,-,-,-,-,-,-,-,-,17,275,-,-,-
Ross,118-0114,2,14-Sep-22,9220,Stony Creek,"Geaney Lane, Deeragun",-19.2484,146.6661,11.87,3,0.253,0.767,11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,14,-,-,15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,94,8,-,-,30
Ross,118-0139,1,22-Aug-19,15091,Antill Plains Creek,"Flinders Highway, Ross River",-19.4349,146.8552,12.9,8,0.62,0.316,22,-,-,-,-,-,-,2,-,-,-,-,34,-,-,12,-,-,-,-,-,-,13,-,-,48,1,13,-,-,-,-,-,-,-,67,-,-,-,-,-,-
Ross,118-0139,2,13-Sep-22,15091,Antill Plains Creek,"Flinders Highway, Ross River",-19.4349,146.8552,12.9,9,0.697,0.137,25,-,-,-,-,-,-,44,-,-,-,-,8,-,-,11,-,-,-,13,-,-,74,8,-,22,-,9,-,-,-,-,-,-,-,6,-,10,18,-,-,-
Ross,118-0139,3,1-Sep-25,15091,Antill Plains Creek,"Flinders Highway, Ross River",-19.4349,146.8552,12.9,6,0.465,0.108,7,-,-,-,-,-,-,-,-,-,-,-,7,-,-,2,-,-,-,11,-,-,-,2,-,-,-,4,-,-,-,-,-,-,-,3,-,-,1,-,-,-
Ross,118-0168,1,21-Aug-19,14297,Alligator Creek,"Alligator Creek Road, Bowling Green Bay National Park, Mount Elliot",-19.4313,146.944,10.06,8,0.795,0.003,-,2,-,-,17,-,-,51,-,-,-,-,-,-,-,9,101,-,-,51,-,-,105,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-
Ross,118-0168,2,12-Sep-22,14297,Alligator Creek,"Alligator Creek Road, Bowling Green Bay National Park, Mount Elliot",-19.4313,146.944,10.06,7,0.696,0.004,-,-,-,-,17,-,-,13,-,-,-,-,-,-,-,4,84,-,-,27,-,-,94,9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-
Ross,118-0168,3,1-Sep-25,14297,Alligator Creek,"Alligator Creek Road, Bowling Green Bay National Park, Mount Elliot",-19.4313,146.944,10.06,7,0.696,0,-,-,-,-,11,-,-,4,-,-,-,-,-,1,-,-,137,-,-,78,-,-,86,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Ross,118-0232,1,22-Aug-19,14293,Alligator Creek,"Strachan Road, Alligator Creek",-19.4042,146.9471,12.46,9,0.722,0,5,-,-,-,4,-,-,50,-,-,-,-,2,-,-,1,60,-,-,20,-,-,49,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Ross,118-0232,2,15-Sep-22,14293,Alligator Creek,"Strachan Road, Alligator Creek",-19.4042,146.9471,12.46,8,0.642,0,5,-,-,-,15,-,-,6,-,-,-,-,11,-,-,-,100,-,-,10,-,-,70,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Ross,118-0279,3,2-Sep-25,6390,Stony Creek,"Flinders Highway, Roseneath",-19.3733,146.836,10.25,5,0.488,0,-,-,-,-,8,-,-,-,-,-,-,-,-,-,-,-,234,-,-,19,-,-,71,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Ross,118-0284,3,8-Sep-25,15489,Little Bohle River,"Bruce Highway, Bohle Plains",-19.3218,146.6981,13.08,6,0.459,0.744,9,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,14,-,-,21,-,-,27,-,-,-,-,1,-,-,-,-,-,-,-,-,-,211,-,-,-,1
Ross,118-0356,3,8-Sep-25,18844,Bohle River,"Bruce Highway, Gumlow",-19.3258,146.7045,13.4,8,0.597,0.023,-,-,2,-,9,-,-,-,-,-,-,-,-,-,-,-,70,2,-,53,1,-,113,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,5,-,-,1
Ross,118-9998,2,16-Jun-21,12591,Ross River,"Gollogly Drive, Rasmussen",-19.3395,146.7291,16.27,15,0.922,0.056,13,8,-,-,7,-,-,282,-,-,-,-,10,-,-,12,1,-,3,2,-,-,30,-,-,22,-,-,-,-,1,6,-,2,4,20,1,-,3,-,-,-
Ross,118-9999,2,16-Jun-21,9465,Ross River,"Riverview Park, Annandale",-19.3083,146.7761,16.81,13,0.774,0.011,18,50,-,-,11,-,-,603,-,-,-,-,29,-,-,24,-,-,1,-,-,-,79,-,-,30,-,-,1,-,-,5,-,9,6,3,5,2,-,-,-,-
